FIPS,State,Abbreviation,Review Date,App Planned,App Released As Of Review Date,App Name,Technology,App Developers,URL
1,Alabama,AL,1/10/2021,Yes,Yes,GuideSafe,Bluetooth,"Alabama Department of Public Health, University of Alabama Birmingham, MotionMobs",https://www.alabamapublichealth.gov/covid19/guidesafe-app.html
2,Alaska,AK,1/10/2021,No,No,N/A,N/A,N/A,N/A
4,Arizona,AZ,1/10/2021,Yes,No,Covif Watch Arizona,Bluetooth,"Arizona Department of Health Services, Covid Watch, University of Arizona, Apple/Google",https://covid19.arizona.edu/covidwatch
5,Arkansas,AR,1/10/2021,No,No,N/A,N/A,N/A,N/A
6,California,CA,1/10/2021,Yes,Yes,CA Notify,Bluetooth,Apple-Google ENS,https://canotify.ca.gov/
8,Colorado,CO,1/10/2021,Yes,No,EN Express,Bluetooth ,Apple-Google ENS,https://covid19.colorado.gov/Exposure-notifications
9,Connecticut,CT,1/10/2021,Yes,Yes,COVID Alert CT,Bluetooth,Apple-Google ENS,https://portal.ct.gov/coronavirus/covidalertCT/homepage
10,Delaware,DE,1/10/2021,Yes,Yes,DE COVID Alert,Bluetooth,Apple-Google ENS,https://coronavirus.delaware.gov/covidalert/
12,Florida,FL,1/10/2021,No,No,N/A,N/A,N/A,N/A
12,Florida (Broward),FL-B,1/10/2021,Rumored,Yes,CombatCOVID PBC,Bluetooth,Shield Group Technologies,
12,Florida (Miami-Dade),FL-M,1/10/2021,Countywide App,Yes,CombatCOVID PBC,Bluetooth,Shield Group Technologies,
12,Florida (Palm Beach),FL-PB,1/10/2021,Countywide App,Yes,CombatCOVID PBC,Bluetooth,Shield Group Technologies,
13,Georgia,GA,1/10/2021,No,No,N/A,N/A,N/A,N/A
15,Hawaii,HI,1/10/2021,Yes,Yes,AlohaSafe Alert,"GPS, Bluetooth","AlohaTrace, Hawaii Department of Health",https://www.wearealohasafe.org/
16,Idaho,ID,1/10/2021,No,No,N/A,N/A,N/A,N/A
17,Illinois,IL,1/10/2021,No,No,N/A,N/A,N/A,N/A
18,Indiana,IN,1/10/2021,No,No,N/A,N/A,N/A,N/A
19,Iowa,IA,1/10/2021,No,No,N/A,N/A,N/A,N/A
20,Kansas,KS,1/10/2021,No,No,N/A,N/A,N/A,N/A
21,Kentucky,KY,1/10/2021,No,No,N/A,N/A,N/A,N/A
22,Louisiana,LA,1/10/2021,Planned,No,N/A,Bluetooth,N/A,https://ldh.la.gov/index.cfm/page/3957
23,Maine,ME,1/10/2021,No,No,N/A,N/A,N/A,N/A
24,Maryland,MD,1/10/2021,Yes,Yes,N/A,Bluetooth,Apple/Google,https://covidlink.maryland.gov/content/mdcovidalert/
25,Massachusetts,MA,1/10/2021,No,No,N/A,N/A,N/A,N/A
26,Michigan,MI,1/10/2021,Yes,Yes,MI COVID Alert,Bluetooth,Apple-Google ENS,"https://www.michigan.gov/coronavirus/0,9753,7-406-99891_102592_102593---,00.html"
27,Minnesota,MN,1/10/2021,Yes,Yes,COVIDaware MN,Bluetooth,Apple-Google ENS,https://covidawaremn.com/
28,Mississippi,MS,1/10/2021,No,No,N/A,N/A,N/A,N/A
29,Missouri,MO,1/10/2021,No,No,N/A,N/A,N/A,N/A
30,Montana,MT,1/10/2021,No,No,N/A,N/A,N/A,N/A
31,Nebraska,NE,1/10/2021,No,No,N/A,N/A,N/A,N/A
32,Nevada,NV,1/10/2021,Yes,Yes,Covid Trace Nevada,Bluetooth,"Nevada's Department of Health and Human Services, PlayStudios, Apple/Google",https://nvhealthresponse.nv.gov/covidtrace/
33,New Hampshire,NH,1/10/2021,No,No,N/A,N/A,N/A,N/A
34,New Jersey,NJ,1/10/2021,Yes,Yes,COVID Alert NJ,Bluetooth,Apple-Google ENS,https://covid19.nj.gov/pages/app
35,New Mexico,NM,1/10/2021,Planned,No,N/A,N/A,N/A,https://cv.nmhealth.org/
36,New York,NY,1/10/2021,Yes,Yes,COVID Alert NY,Bluetooth,Apple-Google ENS,https://coronavirus.health.ny.gov/covid-alert-ny
37,North Carolina,NC,1/10/2021,Yes,Yes,SlowCOVIDNC,Bluetooth,Apple-Google ENS,https://covid19.ncdhhs.gov/slowcovidnc
38,North Dakota,ND,1/10/2021,Yes,Yes,Care 19 Alert,Bluetooth,Proud Crowd,https://ndresponse.gov/covid-19-resources/care19
39,Ohio,OH,1/10/2021,No,No,N/A,N/A,N/A,N/A
40,Oklahoma,OK,1/10/2021,Planned,No,N/A,Bluetooth,Apple-Google ENS,https://oklahoma.gov/covid19/resources-recommendations/contact-tracing-0.html
41,Oregon,OR,1/10/2021,Yes,No,Oregon Exposure Notifications,Bluetooth,Apple-Google ENS,https://govstatus.egov.com/OR-OHA-COVID-19
42,Pennsylvania,PA,1/10/2021,Yes,No,COVID Alert PA,Bluetooth,"MIT, University of Pennsylvania",https://www.pa.gov/covid/covid-alert-pa/
44,Rhode Island,RI,1/10/2021,Yes,Yes,CRUSH COVID RI,GPS,"Rhode Island Department of Health, InfoSys",https://covid.ri.gov/protect-your-household/crush-covid-ri
45,South Carolina,SC,1/10/2021,Yes,No,N/A,Bluetooth,"Apple/Google, Medical University of South Carolina",https://apps.apple.com/us/app/sc-safer-together/id1532255580
46,South Dakota,SD,1/10/2021,Yes,Yes,Care 19 Diaries,"GPS, Bluetooth",Proud Crowd,https://covid.sd.gov/care19app.aspx
47,Tennessee,TN,1/10/2021,No,No,N/A,N/A,N/A,N/A
48,Texas,TX,1/10/2021,No,No,N/A,N/A,N/A,N/A
49,Utah,UT,1/10/2021,Yes,Yes,N/A,"GPS, Bluetooth","Apple/Google, Twenty",https://coronavirus.utah.gov/healthy-together-app/
50,Vermont,VT,1/10/2021,No,No,N/A,N/A,N/A,N/A
51,Virginia,VA,1/10/2021,Yes,Yes,COVIDWISE,Bluetooth,"Virginia Department of Health, Apple/Google",https://www.vdh.virginia.gov/covidwise/
53,Washington,WA,1/10/2021,Yes,No,WA Notify,Bluetooth,"Univeristy of Washington, Brotman Baty Institute, Microsoft",https://www.doh.wa.gov/Emergencies/COVID19/WANotify
11,Washington DC,DC,1/10/2021,Yes,Yes,N/A,Bluetooth,Apple/Google,https://coronavirus.dc.gov/dccan
54,West Virginia,WV,1/10/2021,No,No,N/A,N/A,N/A,N/A
55,Wisconsin,WI,1/10/2021,No,No,N/A,N/A,N/A,N/A
56,Wyoming,WY,1/10/2021,Countywide App,Yes,Care19 Alert,"GPS, Bluetooth","Proud Crowd, Apple/Google",https://ndresponse.gov/covid-19-resources/care19
56,Wyoming (Teton),WY-T,1/10/2021,Yes,Yes,PathCheck SafePlaces,GPS,"Path Check, Inc.",
